Ранг,Слово,Абсолютная частота,Относительная частота,Нормализованный ранг,Нормализированная частота
1,рис,36,0.016491067338524967,0.0,-4.104936418093834
2,2017,25,0.011452130096197893,0.6931471805599453,-4.4695795316817435
3,usb,24,0.010994044892349977,1.0986122886681098,-4.510401526201998
4,12,21,0.00961978928080623,1.3862943611198906,-4.643932918826521
5,памяти,19,0.008703618873110398,1.6094379124341003,-4.744016377383503
6,данных,18,0.008245533669262483,1.791759469228055,-4.798083598653779
7,flash,18,0.008245533669262483,1.9459101490553132,-4.798083598653779
8,forensic,15,0.006871278057718736,2.0794415416798357,-4.980405155447734
9,молодежный,15,0.006871278057718736,2.1972245773362196,-4.980405155447734
10,журнал,15,0.006871278057718736,2.302585092994046,-4.980405155447734
11,1,14,0.00641319285387082,2.3978952727983707,-5.049398026934686
12,не,14,0.00641319285387082,2.4849066497880004,-5.049398026934686
13,политехнический,13,0.005955107650022904,2.5649493574615367,-5.123505999088407
14,usb-накопителей,12,0.005497022446174988,2.6390573296152584,-5.203548706761944
15,устройства,12,0.005497022446174988,2.70805020110221,-5.203548706761944
16,исследования,12,0.005497022446174988,2.772588722239781,-5.203548706761944
17,комплекса,12,0.005497022446174988,2.833213344056216,-5.203548706761944
18,эксперта,11,0.005038937242327073,2.8903717578961645,-5.290560083751573
19,устройство,11,0.005038937242327073,2.9444389791664403,-5.290560083751573
20,2,11,0.005038937242327073,2.995732273553991,-5.290560083751573
21,работе,10,0.004580852038479157,3.044522437723423,-5.385870263555899
22,usb-накопитель,10,0.004580852038479157,3.091042453358316,-5.385870263555899
23,записи,10,0.004580852038479157,3.1354942159291497,-5.385870263555899
24,необходимо,10,0.004580852038479157,3.1780538303479458,-5.385870263555899
25,10,10,0.004580852038479157,3.2188758248682006,-5.385870263555899
26,url,10,0.004580852038479157,3.258096538021482,-5.385870263555899
27,available,10,0.004580852038479157,3.295836866004329,-5.385870263555899
28,павлова,9,0.004122766834631242,3.332204510175204,-5.4912307792137245
29,информации,9,0.004122766834631242,3.367295829986474,-5.4912307792137245
30,комплекс,9,0.004122766834631242,3.4011973816621555,-5.4912307792137245
31,pc-3000,9,0.004122766834631242,3.4339872044851463,-5.4912307792137245
32,данные,9,0.004122766834631242,3.4657359027997265,-5.4912307792137245
33,encase,9,0.004122766834631242,3.4965075614664802,-5.4912307792137245
34,микросхемы,9,0.004122766834631242,3.5263605246161616,-5.4912307792137245
35,эксперт,9,0.004122766834631242,3.5553480614894135,-5.4912307792137245
36,дата,9,0.004122766834631242,3.58351893845611,-5.4912307792137245
37,обращения,9,0.004122766834631242,3.6109179126442243,-5.4912307792137245
38,moscow,9,0.004122766834631242,3.6375861597263857,-5.4912307792137245
39,accessed,9,0.004122766834631242,3.6635616461296463,-5.4912307792137245
40,исследование,8,0.0036646816307833257,3.6888794541139363,-5.609013814870108
41,судебного,8,0.0036646816307833257,3.713572066704308,-5.609013814870108
42,компьютерно-технического,8,0.0036646816307833257,3.7376696182833684,-5.609013814870108
43,аа,8,0.0036646816307833257,3.7612001156935624,-5.609013814870108
44,usb-накопителя,8,0.0036646816307833257,3.784189633918261,-5.609013814870108
45,6,8,0.0036646816307833257,3.8066624897703196,-5.609013814870108
46,хранения,7,0.00320659642693541,3.828641396489095,-5.74254520749463
47,3,7,0.00320659642693541,3.8501476017100584,-5.74254520749463
48,4,7,0.00320659642693541,3.871201010907891,-5.74254520749463
49,микросхема,7,0.00320659642693541,3.8918202981106265,-5.74254520749463
50,5,7,0.00320659642693541,3.912023005428146,-5.74254520749463
51,7,7,0.00320659642693541,3.9318256327243257,-5.74254520749463
52,8,7,0.00320659642693541,3.9512437185814275,-5.74254520749463
53,11,7,0.00320659642693541,3.970291913552122,-5.74254520749463
54,usb-устройства,6,0.002748511223087494,3.9889840465642745,-5.896695887321889
55,20,6,0.002748511223087494,4.007333185232471,-5.896695887321889
56,30,6,0.002748511223087494,4.02535169073515,-5.896695887321889
57,9,6,0.002748511223087494,4.04305126783455,-5.896695887321889
58,работы,6,0.002748511223087494,4.060443010546419,-5.896695887321889
59,объекта,6,0.002748511223087494,4.07753744390572,-5.896695887321889
60,можно,6,0.002748511223087494,4.0943445622221,-5.896695887321889
61,13,6,0.002748511223087494,4.110873864173311,-5.896695887321889
62,drive,6,0.002748511223087494,4.127134385045092,-5.896695887321889
63,is,6,0.002748511223087494,4.143134726391533,-5.896695887321889
64,computer,6,0.002748511223087494,4.1588830833596715,-5.896695887321889
65,september,6,0.002748511223087494,4.174387269895637,-5.896695887321889
66,москва,5,0.0022904260192395786,4.189654742026425,-6.079017444115843
67,судебной,5,0.0022904260192395786,4.204692619390966,-6.079017444115843
68,экспертизы,5,0.0022904260192395786,4.219507705176107,-6.079017444115843
69,поскольку,5,0.0022904260192395786,4.23410650459726,-6.079017444115843
70,наиболее,5,0.0022904260192395786,4.248495242049359,-6.079017444115843
71,возможность,5,0.0022904260192395786,4.2626798770413155,-6.079017444115843
72,информацию,5,0.0022904260192395786,4.276666119016055,-6.079017444115843
73,является,5,0.0022904260192395786,4.290459441148391,-6.079017444115843
74,может,5,0.0022904260192395786,4.30406509320417,-6.079017444115843
75,защита,5,0.0022904260192395786,4.31748811353631,-6.079017444115843
76,гбайта,5,0.0022904260192395786,4.330733340286331,-6.079017444115843
77,этого,5,0.0022904260192395786,4.343805421853684,-6.079017444115843
78,позволяет,5,0.0022904260192395786,4.356708826689592,-6.079017444115843
79,также,5,0.0022904260192395786,4.3694478524670215,-6.079017444115843
80,после,5,0.0022904260192395786,4.382026634673881,-6.079017444115843
81,найти,5,0.0022904260192395786,4.394449154672439,-6.079017444115843
82,задачи,5,0.0022904260192395786,4.406719247264253,-6.079017444115843
83,data,5,0.0022904260192395786,4.418840607796598,-6.079017444115843
84,мгту,4,0.0018323408153916628,4.430816798843313,-6.302160995430054
85,нэ,4,0.0018323408153916628,4.442651256490317,-6.302160995430054
86,баумана,4,0.0018323408153916628,4.454347296253507,-6.302160995430054
87,именно,4,0.0018323408153916628,4.465908118654584,-6.302160995430054
88,поврежденных,4,0.0018323408153916628,4.477336814478207,-6.302160995430054
89,usb-устройств,4,0.0018323408153916628,4.48863636973214,-6.302160995430054
90,программный,4,0.0018323408153916628,4.499809670330265,-6.302160995430054
91,восстановления,4,0.0018323408153916628,4.51085950651685,-6.302160995430054
92,объема,4,0.0018323408153916628,4.5217885770490405,-6.302160995430054
93,которых,4,0.0018323408153916628,4.532599493153256,-6.302160995430054
94,поэтому,4,0.0018323408153916628,4.543294782270004,-6.302160995430054
95,того,4,0.0018323408153916628,4.553876891600541,-6.302160995430054
96,объемом,4,0.0018323408153916628,4.564348191467836,-6.302160995430054
97,sandick,4,0.0018323408153916628,4.574710978503383,-6.302160995430054
98,cruzer,4,0.0018323408153916628,4.584967478670572,-6.302160995430054
99,facet,4,0.0018323408153916628,4.59511985013459,-6.302160995430054
100,помощью,4,0.0018323408153916628,4.605170185988092,-6.302160995430054
101,микросхему,4,0.0018323408153916628,4.61512051684126,-6.302160995430054
102,решения,4,0.0018323408153916628,4.624972813284271,-6.302160995430054
103,изменения,4,0.0018323408153916628,4.634728988229636,-6.302160995430054
104,drives,4,0.0018323408153916628,4.6443908991413725,-6.302160995430054
105,bauman,4,0.0018323408153916628,4.653960350157523,-6.302160995430054
106,state,4,0.0018323408153916628,4.663439094112067,-6.302160995430054
107,technical,4,0.0018323408153916628,4.672828834461906,-6.302160995430054
108,university,4,0.0018323408153916628,4.68213122712422,-6.302160995430054
109,devices,4,0.0018323408153916628,4.6913478822291435,-6.302160995430054
110,российская,3,0.001374255611543747,4.700480365792417,-6.5898430678818345
111,федерация,3,0.001374255611543747,4.709530201312334,-6.5898430678818345
112,usb-накопители,3,0.001374255611543747,4.718498871295094,-6.5898430678818345
113,поиск,3,0.001374255611543747,4.727387818712341,-6.5898430678818345
114,восстановить,3,0.001374255611543747,4.736198448394496,-6.5898430678818345
115,применяется,3,0.001374255611543747,4.74493212836325,-6.5898430678818345
116,время,3,0.001374255611543747,4.7535901911063645,-6.5898430678818345
117,большого,3,0.001374255611543747,4.762173934797756,-6.5898430678818345
118,нередко,3,0.001374255611543747,4.770684624465665,-6.5898430678818345
119,могут,3,0.001374255611543747,4.77912349311153,-6.5898430678818345
120,чтения,3,0.001374255611543747,4.787491742782046,-6.5898430678818345
121,устройств,3,0.001374255611543747,4.795790545596741,-6.5898430678818345
122,элементы,3,0.001374255611543747,4.804021044733257,-6.5898430678818345
123,устройством,3,0.001374255611543747,4.812184355372417,-6.5898430678818345
124,светодиод,3,0.001374255611543747,4.820281565605037,-6.5898430678818345
125,следует,3,0.001374255611543747,4.8283137373023015,-6.5898430678818345
126,непосредственно,3,0.001374255611543747,4.836281906951478,-6.5898430678818345
127,повреждения,3,0.001374255611543747,4.844187086458591,-6.5898430678818345
128,представляется,3,0.001374255611543747,4.852030263919617,-6.5898430678818345
129,возможным,3,0.001374255611543747,4.859812404361672,-6.5898430678818345
130,рассмотрим,3,0.001374255611543747,4.867534450455582,-6.5898430678818345
131,память,3,0.001374255611543747,4.875197323201151,-6.5898430678818345
132,технологий,3,0.001374255611543747,4.882801922586371,-6.5898430678818345
133,nand,3,0.001374255611543747,4.890349128221754,-6.5898430678818345
134,используется,3,0.001374255611543747,4.897839799950911,-6.5898430678818345
135,типа,3,0.001374255611543747,4.90527477843843,-6.5898430678818345
136,контроллера,3,0.001374255611543747,4.912654885736052,-6.5898430678818345
137,работу,3,0.001374255611543747,4.919980925828125,-6.5898430678818345
138,компьютеру,3,0.001374255611543747,4.927253685157205,-6.5898430678818345
139,значение,3,0.001374255611543747,4.9344739331306915,-6.5898430678818345
140,том,3,0.001374255611543747,4.941642422609304,-6.5898430678818345
141,получения,3,0.001374255611543747,4.948759890378168,-6.5898430678818345
142,экспертной,3,0.001374255611543747,4.955827057601261,-6.5898430678818345
143,накопителя,3,0.001374255611543747,4.962844630259907,-6.5898430678818345
144,контроллер,3,0.001374255611543747,4.969813299576001,-6.5898430678818345
145,случае,3,0.001374255611543747,4.976733742420574,-6.5898430678818345
146,основной,3,0.001374255611543747,4.983606621708336,-6.5898430678818345
147,принцип,3,0.001374255611543747,4.990432586778736,-6.5898430678818345
148,прежде,3,0.001374255611543747,4.997212273764115,-6.5898430678818345
149,должен,3,0.001374255611543747,5.003946305945459,-6.5898430678818345
150,часть,3,0.001374255611543747,5.0106352940962555,-6.5898430678818345
151,usb-устройство,3,0.001374255611543747,5.017279836814924,-6.5898430678818345
152,программа,3,0.001374255611543747,5.0238805208462765,-6.5898430678818345
153,выбрать,3,0.001374255611543747,5.030437921392435,-6.5898430678818345
154,чтение,3,0.001374255611543747,5.0369526024136295,-6.5898430678818345
155,выбор,3,0.001374255611543747,5.043425116919247,-6.5898430678818345
156,опции,3,0.001374255611543747,5.049856007249537,-6.5898430678818345
157,решений,3,0.001374255611543747,5.056245805348308,-6.5898430678818345
158,assistant,3,0.001374255611543747,5.062595033026967,-6.5898430678818345
159,файлы,3,0.001374255611543747,5.0689042022202315,-6.5898430678818345
160,образ,3,0.001374255611543747,5.075173815233827,-6.5898430678818345
161,вносить,3,0.001374255611543747,5.081404364984463,-6.5898430678818345
162,14,3,0.001374255611543747,5.087596335232384,-6.5898430678818345
163,хэш-значений,3,0.001374255611543747,5.093750200806762,-6.5898430678818345
164,15,3,0.001374255611543747,5.099866427824199,-6.5898430678818345
165,перейти,3,0.001374255611543747,5.10594547390058,-6.5898430678818345
166,поставленной,3,0.001374255611543747,5.111987788356544,-6.5898430678818345
167,условия,3,0.001374255611543747,5.117993812416755,-6.5898430678818345
168,10092017,3,0.001374255611543747,5.123963979403259,-6.5898430678818345
169,russian,3,0.001374255611543747,5.1298987149230735,-6.5898430678818345
170,federation,3,0.001374255611543747,5.135798437050262,-6.5898430678818345
171,examination,3,0.001374255611543747,5.14166355650266,-6.5898430678818345
172,v,3,0.001374255611543747,5.147494476813453,-6.5898430678818345
173,i,3,0.001374255611543747,5.153291594497779,-6.5898430678818345
174,stick,3,0.001374255611543747,5.159055299214529,-6.5898430678818345
175,anniapavlovayandexru,2,0.0009161704076958314,5.1647859739235145,-6.995308175989998
176,судебная,2,0.0009161704076958314,5.170483995038151,-6.995308175989998
177,современные,2,0.0009161704076958314,5.176149732573829,-6.995308175989998
178,рамках,2,0.0009161704076958314,5.181783550292085,-6.995308175989998
179,программные,2,0.0009161704076958314,5.187385805840755,-6.995308175989998
180,средства,2,0.0009161704076958314,5.19295685089021,-6.995308175989998
181,компьютерно-технической,2,0.0009161704076958314,5.198497031265826,-6.995308175989998
182,практически,2,0.0009161704076958314,5.204006687076795,-6.995308175989998
183,способны,2,0.0009161704076958314,5.209486152841421,-6.995308175989998
184,сочетать,2,0.0009161704076958314,5.214935757608986,-6.995308175989998
185,себе,2,0.0009161704076958314,5.220355825078324,-6.995308175989998
186,свойства,2,0.0009161704076958314,5.225746673713202,-6.995308175989998
187,компактность,2,0.0009161704076958314,5.231108616854587,-6.995308175989998
188,проведении,2,0.0009161704076958314,5.236441962829949,-6.995308175989998
189,важную,2,0.0009161704076958314,5.241747015059643,-6.995308175989998
190,микросхеме,2,0.0009161704076958314,5.247024072160486,-6.995308175989998
191,подключить,2,0.0009161704076958314,5.25227342804663,-6.995308175989998
192,любое,2,0.0009161704076958314,5.2574953720277815,-6.995308175989998
193,считывающее,2,0.0009161704076958314,5.262690188904886,-6.995308175989998
194,интерфейс,2,0.0009161704076958314,5.267858159063328,-6.995308175989998
195,сегодняшний,2,0.0009161704076958314,5.272999558563747,-6.995308175989998
196,день,2,0.0009161704076958314,5.278114659230517,-6.995308175989998
197,котором,2,0.0009161704076958314,5.2832037287379885,-6.995308175989998
198,информация,2,0.0009161704076958314,5.288267030694535,-6.995308175989998
199,необходимости,2,0.0009161704076958314,5.293304824724492,-6.995308175989998
200,использовать,2,0.0009161704076958314,5.298317366548036,-6.995308175989998
201,кроме,2,0.0009161704076958314,5.303304908059076,-6.995308175989998
202,существует,2,0.0009161704076958314,5.308267697401205,-6.995308175989998
203,др,2,0.0009161704076958314,5.313205979041787,-6.995308175989998
204,микроконтроллер,2,0.0009161704076958314,5.318119993844216,-6.995308175989998
205,кварцевый,2,0.0009161704076958314,5.3230099791384085,-6.995308175989998
206,резонатор,2,0.0009161704076958314,5.327876168789581,-6.995308175989998
207,дополнительное,2,0.0009161704076958314,5.332718793265369,-6.995308175989998
208,место,2,0.0009161704076958314,5.337538079701318,-6.995308175989998
209,отметить,2,0.0009161704076958314,5.342334251964811,-6.995308175989998
210,usb-накопителях,2,0.0009161704076958314,5.3471075307174685,-6.995308175989998
211,виде,2,0.0009161704076958314,5.351858133476067,-6.995308175989998
212,части,2,0.0009161704076958314,5.356586274672012,-6.995308175989998
213,чтениязаписи,2,0.0009161704076958314,5.3612921657094255,-6.995308175989998
214,компьютером,2,0.0009161704076958314,5.365976015021851,-6.995308175989998
215,чаще,2,0.0009161704076958314,5.3706380281276624,-6.995308175989998
216,скорости,2,0.0009161704076958314,5.375278407684165,-6.995308175989998
217,например,2,0.0009161704076958314,5.37989735354046,-6.995308175989998
218,микроконтроллера,2,0.0009161704076958314,5.384495062789089,-6.995308175989998
219,правильное,2,0.0009161704076958314,5.389071729816501,-6.995308175989998
220,флэш-накопителя,2,0.0009161704076958314,5.393627546352362,-6.995308175989998
221,устройствами,2,0.0009161704076958314,5.3981627015177525,-6.995308175989998
