Ранг,Слово,Абсолютная частота,Относительная частота,Нормализованный ранг,Нормализированная частота
1,рис,36,0.018339276617422313,0.0,-3.998710255820351
2,2017,25,0.01273560876209883,0.6931471805599453,-4.3633533694082605
3,usb,24,0.012226184411614875,1.0986122886681098,-4.404175363928515
4,12,21,0.010697911360163017,1.3862943611198906,-4.537706756553038
5,памяти,19,0.00967906265919511,1.6094379124341003,-4.63779021511002
6,flash,18,0.009169638308711156,1.791759469228055,-4.691857436380296
7,forensic,15,0.007641365257259297,1.9459101490553132,-4.874178993174251
8,молодежный,15,0.007641365257259297,2.0794415416798357,-4.874178993174251
9,журнал,15,0.007641365257259297,2.1972245773362196,-4.874178993174251
10,1,14,0.007131940906775344,2.302585092994046,-4.943171864661203
11,политехнический,13,0.006622516556291391,2.3978952727983707,-5.017279836814924
12,usb-накопителей,12,0.006113092205807438,2.4849066497880004,-5.097322544488461
13,устройства,12,0.006113092205807438,2.5649493574615367,-5.097322544488461
14,исследования,12,0.006113092205807438,2.6390573296152584,-5.097322544488461
15,комплекса,12,0.006113092205807438,2.70805020110221,-5.097322544488461
16,эксперта,11,0.0056036678553234845,2.772588722239781,-5.184333921478091
17,устройство,11,0.0056036678553234845,2.833213344056216,-5.184333921478091
18,2,11,0.0056036678553234845,2.8903717578961645,-5.184333921478091
19,работе,10,0.005094243504839531,2.9444389791664403,-5.279644101282416
20,usb-накопитель,10,0.005094243504839531,2.995732273553991,-5.279644101282416
21,записи,10,0.005094243504839531,3.044522437723423,-5.279644101282416
22,10,10,0.005094243504839531,3.091042453358316,-5.279644101282416
23,url,10,0.005094243504839531,3.1354942159291497,-5.279644101282416
24,available,10,0.005094243504839531,3.1780538303479458,-5.279644101282416
25,павлова,9,0.004584819154355578,3.2188758248682006,-5.3850046169402415
26,информации,9,0.004584819154355578,3.258096538021482,-5.3850046169402415
27,комплекс,9,0.004584819154355578,3.295836866004329,-5.3850046169402415
28,pc-3000,9,0.004584819154355578,3.332204510175204,-5.3850046169402415
29,encase,9,0.004584819154355578,3.367295829986474,-5.3850046169402415
30,микросхемы,9,0.004584819154355578,3.4011973816621555,-5.3850046169402415
31,эксперт,9,0.004584819154355578,3.4339872044851463,-5.3850046169402415
32,дата,9,0.004584819154355578,3.4657359027997265,-5.3850046169402415
33,обращения,9,0.004584819154355578,3.4965075614664802,-5.3850046169402415
34,moscow,9,0.004584819154355578,3.5263605246161616,-5.3850046169402415
35,accessed,9,0.004584819154355578,3.5553480614894135,-5.3850046169402415
36,исследование,8,0.004075394803871625,3.58351893845611,-5.502787652596625
37,судебного,8,0.004075394803871625,3.6109179126442243,-5.502787652596625
38,компьютерно-технического,8,0.004075394803871625,3.6375861597263857,-5.502787652596625
39,аа,8,0.004075394803871625,3.6635616461296463,-5.502787652596625
40,usb-накопителя,8,0.004075394803871625,3.6888794541139363,-5.502787652596625
41,6,8,0.004075394803871625,3.713572066704308,-5.502787652596625
42,хранения,7,0.003565970453387672,3.7376696182833684,-5.636319045221148
43,3,7,0.003565970453387672,3.7612001156935624,-5.636319045221148
44,4,7,0.003565970453387672,3.784189633918261,-5.636319045221148
45,микросхема,7,0.003565970453387672,3.8066624897703196,-5.636319045221148
46,5,7,0.003565970453387672,3.828641396489095,-5.636319045221148
47,7,7,0.003565970453387672,3.8501476017100584,-5.636319045221148
48,8,7,0.003565970453387672,3.871201010907891,-5.636319045221148
49,11,7,0.003565970453387672,3.8918202981106265,-5.636319045221148
50,usb-устройства,6,0.003056546102903719,3.912023005428146,-5.790469725048406
51,20,6,0.003056546102903719,3.9318256327243257,-5.790469725048406
52,30,6,0.003056546102903719,3.9512437185814275,-5.790469725048406
53,9,6,0.003056546102903719,3.970291913552122,-5.790469725048406
54,работы,6,0.003056546102903719,3.9889840465642745,-5.790469725048406
55,объекта,6,0.003056546102903719,4.007333185232471,-5.790469725048406
56,13,6,0.003056546102903719,4.02535169073515,-5.790469725048406
57,drive,6,0.003056546102903719,4.04305126783455,-5.790469725048406
58,computer,6,0.003056546102903719,4.060443010546419,-5.790469725048406
59,september,6,0.003056546102903719,4.07753744390572,-5.790469725048406
60,москва,5,0.0025471217524197657,4.0943445622221,-5.972791281842361
61,судебной,5,0.0025471217524197657,4.110873864173311,-5.972791281842361
62,экспертизы,5,0.0025471217524197657,4.127134385045092,-5.972791281842361
63,возможность,5,0.0025471217524197657,4.143134726391533,-5.972791281842361
64,информацию,5,0.0025471217524197657,4.1588830833596715,-5.972791281842361
65,является,5,0.0025471217524197657,4.174387269895637,-5.972791281842361
66,защита,5,0.0025471217524197657,4.189654742026425,-5.972791281842361
67,гбайта,5,0.0025471217524197657,4.204692619390966,-5.972791281842361
68,позволяет,5,0.0025471217524197657,4.219507705176107,-5.972791281842361
69,найти,5,0.0025471217524197657,4.23410650459726,-5.972791281842361
70,задачи,5,0.0025471217524197657,4.248495242049359,-5.972791281842361
71,data,5,0.0025471217524197657,4.2626798770413155,-5.972791281842361
72,мгту,4,0.0020376974019358125,4.276666119016055,-6.195934833156571
73,нэ,4,0.0020376974019358125,4.290459441148391,-6.195934833156571
74,баумана,4,0.0020376974019358125,4.30406509320417,-6.195934833156571
75,поврежденных,4,0.0020376974019358125,4.31748811353631,-6.195934833156571
76,usb-устройств,4,0.0020376974019358125,4.330733340286331,-6.195934833156571
77,программный,4,0.0020376974019358125,4.343805421853684,-6.195934833156571
78,восстановления,4,0.0020376974019358125,4.356708826689592,-6.195934833156571
79,объема,4,0.0020376974019358125,4.3694478524670215,-6.195934833156571
80,объемом,4,0.0020376974019358125,4.382026634673881,-6.195934833156571
81,sandick,4,0.0020376974019358125,4.394449154672439,-6.195934833156571
82,cruzer,4,0.0020376974019358125,4.406719247264253,-6.195934833156571
83,facet,4,0.0020376974019358125,4.418840607796598,-6.195934833156571
84,помощью,4,0.0020376974019358125,4.430816798843313,-6.195934833156571
85,микросхему,4,0.0020376974019358125,4.442651256490317,-6.195934833156571
86,решения,4,0.0020376974019358125,4.454347296253507,-6.195934833156571
87,изменения,4,0.0020376974019358125,4.465908118654584,-6.195934833156571
88,drives,4,0.0020376974019358125,4.477336814478207,-6.195934833156571
89,bauman,4,0.0020376974019358125,4.48863636973214,-6.195934833156571
90,state,4,0.0020376974019358125,4.499809670330265,-6.195934833156571
91,technical,4,0.0020376974019358125,4.51085950651685,-6.195934833156571
92,university,4,0.0020376974019358125,4.5217885770490405,-6.195934833156571
93,devices,4,0.0020376974019358125,4.532599493153256,-6.195934833156571
94,российская,3,0.0015282730514518594,4.543294782270004,-6.4836169056083515
95,федерация,3,0.0015282730514518594,4.553876891600541,-6.4836169056083515
96,usb-накопители,3,0.0015282730514518594,4.564348191467836,-6.4836169056083515
97,поиск,3,0.0015282730514518594,4.574710978503383,-6.4836169056083515
98,восстановить,3,0.0015282730514518594,4.584967478670572,-6.4836169056083515
99,применяется,3,0.0015282730514518594,4.59511985013459,-6.4836169056083515
100,время,3,0.0015282730514518594,4.605170185988092,-6.4836169056083515
101,большого,3,0.0015282730514518594,4.61512051684126,-6.4836169056083515
102,чтения,3,0.0015282730514518594,4.624972813284271,-6.4836169056083515
103,устройств,3,0.0015282730514518594,4.634728988229636,-6.4836169056083515
104,элементы,3,0.0015282730514518594,4.6443908991413725,-6.4836169056083515
105,устройством,3,0.0015282730514518594,4.653960350157523,-6.4836169056083515
106,светодиод,3,0.0015282730514518594,4.663439094112067,-6.4836169056083515
107,непосредственно,3,0.0015282730514518594,4.672828834461906,-6.4836169056083515
108,повреждения,3,0.0015282730514518594,4.68213122712422,-6.4836169056083515
109,представляется,3,0.0015282730514518594,4.6913478822291435,-6.4836169056083515
110,возможным,3,0.0015282730514518594,4.700480365792417,-6.4836169056083515
111,рассмотрим,3,0.0015282730514518594,4.709530201312334,-6.4836169056083515
112,память,3,0.0015282730514518594,4.718498871295094,-6.4836169056083515
113,технологий,3,0.0015282730514518594,4.727387818712341,-6.4836169056083515
114,nand,3,0.0015282730514518594,4.736198448394496,-6.4836169056083515
115,используется,3,0.0015282730514518594,4.74493212836325,-6.4836169056083515
116,типа,3,0.0015282730514518594,4.7535901911063645,-6.4836169056083515
117,контроллера,3,0.0015282730514518594,4.762173934797756,-6.4836169056083515
118,работу,3,0.0015282730514518594,4.770684624465665,-6.4836169056083515
119,компьютеру,3,0.0015282730514518594,4.77912349311153,-6.4836169056083515
120,значение,3,0.0015282730514518594,4.787491742782046,-6.4836169056083515
121,получения,3,0.0015282730514518594,4.795790545596741,-6.4836169056083515
122,экспертной,3,0.0015282730514518594,4.804021044733257,-6.4836169056083515
123,накопителя,3,0.0015282730514518594,4.812184355372417,-6.4836169056083515
124,контроллер,3,0.0015282730514518594,4.820281565605037,-6.4836169056083515
125,случае,3,0.0015282730514518594,4.8283137373023015,-6.4836169056083515
126,основной,3,0.0015282730514518594,4.836281906951478,-6.4836169056083515
127,принцип,3,0.0015282730514518594,4.844187086458591,-6.4836169056083515
128,часть,3,0.0015282730514518594,4.852030263919617,-6.4836169056083515
129,usb-устройство,3,0.0015282730514518594,4.859812404361672,-6.4836169056083515
130,программа,3,0.0015282730514518594,4.867534450455582,-6.4836169056083515
131,выбрать,3,0.0015282730514518594,4.875197323201151,-6.4836169056083515
