Персоналии,Прочее,Топонимы
00:16:43,00:24:55–00:24:57,Moscow
Burlinova A.S. Specifika,Better Call Saul,Razuvaeva
Deryugina I.V. Osobennosti,ChatGPT,Zh
E.M. Kalinovskaja,ChatGPT 4.0,Е.М.
Elementary,Conflict of Interest,Москва
I.V. Znanie,E.A. Makshanceva,Проверка
Kalinovskaya E.M.,E.A. Makshanceva // Inostrannye jazyki v kontekste mezhkul'turnoj kommunikacii [Foreign Languages in the Context of Intercultural Communication,Российская Федерация
Khizhnyak S.P. Formirovanie,John Wiley&Sons,Ростов-на-Дону
N. Sarangaeva,Kaminskaya E.V. Terminologija,США
N.G. Chernyshevsky,Kaminskaya E.V. Terminologija prava v SShA [Terminology Of Government In The USA] / E.V. Kaminskaja,Таким
O.E. Kutafina,Latinisms,Червонюк
Rostov,National Research Saratov State University,она богата
S01ep0100:09:52–00:10:03,None declared,слов
T.P. Specifika,O.E. Kutafin University,сокращений
V.I. Jelementarnye,PhD,эмоциональной окрашенностью
interests(клише,Philology,языковой
juridicheskij jazyk izlozhenija,Phonetics / D. Crystal,
leksiki v sovremennom,Plain English,
osnova perevoda juridicheskih,Russian Federation * Corresponding,
А.С. Бурлинова,Russian Federation * Corresponding author (trazuvaeva[at]yandex.ru),
Аннотация Статья,Russian Linguistic Bulletin,
Бурлинова А.С. Специфика,Southern Federal University,
В.И. Червонюк,THE ISSUE OF TRANSFORMING CONTEXTUAL WORD GROUPS AND,
Важно отметить,Tendencies of Science and Education Development,
Внесение,] / V.I. Chervonjuk,
Далее,experienced a surge of exuberance,
Декабрь,https://doi.org/10.60797/RULB.2024.60.27 К ВОПРОСУ О ПРЕОБРАЗОВАНИИ,
Декабрь 2,jargon,
Декабрь ТЕОРЕТИЧЕСКАЯ,legalistic mumbo jumbo,
Декабрь Юридическая,legalistic verbiage,
Дерюгина И.В. Особенности,nachala obshhej̆ teorii prava,
Документирование,subsequently,
Дэвид Кристал,that’s why you need someone in your corner,
Е.А. Макшанцева,when circumstances deteriorate,
Е.В. Каминская,БОЛЕЕ ФОРМАЛЬНЫЙ ЮРИДИЧЕСКИЙ СТИЛЬ,
Ж.Н. Сарангаева,Бурлинова А.С. Специфика,
Ж.Н. Сарангаева //,В.И. Элементарные,
Заключение Анализируя,ВОПРОСУ,
Знание,Е.А. Макшанцева,
И.В. Особенности,Е.В. Каминская,
И.В. Хитрова,Е.Н. Калиновская,
Изучение,ИСПОЛЬЗОВАНИЕМ CHATGPT КОНТЕКСТУАЛЬНЫХ ГРУПП СЛОВ,
Использование,Каминская Е.В. Терминология,
Исследование,Лучше звоните Солу,
Калиновская,Например,
Ключевые,Национальный исследовательский,
Колосс,Они,
Методы,ПРИКЛАДНАЯ,
Н.Г. Чернышевского,Поэтому,
Например,Радион Т.П. Специфика,
О.Е. Кутафина,Разуваева,
Особый интерес,Рецензия Review Все,
Профессор Червонюк,Российская Федерация,
Радион Т.П. Специфика,СЛОВОСОЧЕТАНИЙ ЮРИДИЧЕСКОЙ НАПРАВЛЕННОСТИ В,
Разуваева Т.Н.1,США / Е.В. Каминская,
С.П. Хижняк,Саратовский государственный университет им. Н.Г. Чернышевского,
Сохранение,Фиксирование,
Список литературы,Юридическая лексика,
Т.П. Радион,выделение ключевых моменты,
Формулирование,интерес,
Хижняк С.П. Формирование,используемый в правовых,
Хитрова И.В. Знание,методов обработки,
Червонюк,многих областях,
Червонюк В.И. Элементарные,окрашенную лексику юридической направленности,
Юридическая,осведомленными о своих правах,
американского юридического сериала,по-юридически,
большим количеством,только самые слова,
выборки из,только юридическими терминами,
где с,что,
изменения в правовых нормах,что именно,
имеет большое значение в различных профессиональных,чтобы обеспечить юридическую,
имеет большое значение в современном обществе,юридические,
искусственному,языке / References,
использование архаичных,языке / А.С. Бурлинова,
использование длинных,,
как отличить фразы,,
контексте межкультурной,,
которые должны,,
которые могут,,
которые могут в дальнейшем,,
которые обычно встречаются в,,
лексических единиц,,
несколько примеров из нескольких,,
нижний регистр,,
новых технологий,,
первого сезона,,
по нескольким причинам,,
подходящие под,,
понимание юридических,,
потому что он,,
правовых текстах,,
предмет точности,,
промежуточных версий,,
простого,,
разговорного стиля,,
свойств юридического языка заключается,,
синоним,,
сложных предложений,,
соответственно,,
способствует свободному,,
тексту формальности,,
технологии искусственного интеллекта – ChatGPT,,
технологию XXI века,,
того чтобы фразы,,
традициях юридического стиля,,
фраза адвоката из разговора,,
фраза преступника,,
четкие,,
что в дальнейшем,,
что использование ChatGPT ускоряет процесс,,
что свидетельствует,,
что характерно,,
что юридическая лексика,,
чтобы фразы,,
юридическая лексика,,
юридически,,
юридических,,
юридических документов,,
